추첨일,회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등금액,2등금액,3등금액,4등금액,5등금액
2024.03.09,1110,3,7,11,20,22,41,24,1647392719,37229214,1202258,50000,5000
2024.03.02,1109,10,12,13,19,33,40,2,1584352875,53440474,1341202,50000,5000
2024.02.24,1108,7,19,26,37,39,44,27,1957990849,47590056,1415757,50000,5000
2024.02.17,1107,6,14,30,31,40,41,29,2025625233,57639743,1407942,50000,5000
2024.02.10,1106,1,3,4,29,42,45,36,2790462819,76355948,1516257,50000,5000
2024.02.03,1105,6,16,34,37,39,40,11,1834853800,55266681,1582863,50000,5000
2024.01.27,1104,1,7,21,30,35,38,2,1817193100,59776089,1514328,50000,5000
2024.01.20,1103,10,12,29,31,40,44,2,1574419633,58695469,1533468,50000,5000
2024.01.13,1102,13,14,22,26,37,38,20,1383591413,73205895,1516099,50000,5000
2024.01.06,1101,6,7,13,28,36,42,41,2100529500,60681964,1353300,50000,5000
2023.12.30,1100,17,26,29,30,31,43,12,2207575472,59050373,1667160,50000,5000
2023.12.23,1099,3,20,28,38,40,43,4,2959934125,62533820,1643800,50000,5000
2023.12.16,1098,12,16,21,24,41,43,15,1930461895,61509816,1472771,50000,5000
2023.12.09,1097,14,33,34,35,37,40,4,3864293090,67288686,1713547,50000,5000
2023.12.02,1096,1,12,16,19,23,43,34,2539391175,49791984,1447442,50000,5000
2023.11.25,1095,8,14,28,29,34,40,12,2617825575,76544608,1688484,50000,5000
2023.11.18,1094,6,7,15,22,26,40,41,2112854469,48571368,1550719,50000,5000
2023.11.11,1093,10,17,22,30,35,43,44,1967040750,65568025,1455575,50000,5000
2023.11.04,1092,7,18,19,26,33,45,37,1583289844,50263170,1269044,50000,5000
2023.10.28,1091,6,20,23,24,28,30,44,2898470459,66887780,1513299,50000,5000
2023.10.21,1090,12,19,21,29,40,45,1,2386494614,49718638,1492747,50000,5000
2023.10.14,1089,4,18,31,37,42,43,40,2978522167,56554219,1581517,50000,5000
2023.10.07,1088,11,21,22,30,39,44,31,2434697898,47485243,1492348,50000,5000
2023.09.30,1087,13,14,18,21,34,44,16,1732253602,65061169,1545448,50000,5000
2023.09.23,1086,11,16,25,27,35,36,37,1515913809,64105808,1313483,50000,5000
2023.09.16,1085,4,7,17,18,38,44,36,1073277473,51427879,1185316,50000,5000
2023.09.09,1084,8,12,13,29,33,42,5,1738764600,40625342,1447523,50000,5000
2023.09.02,1083,3,7,14,15,22,38,17,1713084525,59482102,1308098,50000,5000
2023.08.26,1082,21,26,27,32,34,42,31,3720489643,70009214,1568126,50000,5000
2023.08.19,1081,1,9,16,23,24,38,17,2343892944,46708012,1470112,50000,5000
2023.08.12,1080,13,16,23,31,36,44,38,3639444429,51780714,1561037,50000,5000
2023.08.05,1079,4,8,18,24,37,45,6,2712329417,47864637,1266655,50000,5000
2023.07.29,1078,6,10,11,14,36,38,43,2141604938,55626103,1591680,50000,5000
2023.07.22,1077,4,8,17,30,40,43,34,3570901018,42510727,1287806,50000,5000
2023.07.15,1076,3,7,9,33,36,37,10,2672689750,46616682,1289494,50000,5000
2023.07.08,1075,1,23,24,35,44,45,10,2896337167,27153161,1579821,50000,5000
2023.07.01,1074,1,6,20,27,28,41,15,2134763657,54737530,1574891,50000,5000
2023.06.24,1073,6,18,28,30,32,38,15,2345227603,69348129,1436067,50000,5000
